node,deps_dev_index,ecosystem,package,version,relation_to_root,bundled,B,max_severity,advisory_count,advisory_ids
npm:send@0.18.0,58,npm,send,0.18.0,DIRECT,False,0.25,LOW,1,GHSA-m6fv-jmcg-4jfg
npm:serve-static@1.15.0,59,npm,serve-static,1.15.0,DIRECT,False,0.25,LOW,1,GHSA-cm22-4g7w-348p
npm:setprototypeof@1.2.0,60,npm,setprototypeof,1.2.0,DIRECT,False,0.0,NONE,0,
npm:side-channel@1.1.1,61,npm,side-channel,1.1.1,INDIRECT,False,0.0,NONE,0,
npm:side-channel-list@1.0.1,62,npm,side-channel-list,1.0.1,INDIRECT,False,0.0,NONE,0,
npm:side-channel-map@1.0.1,63,npm,side-channel-map,1.0.1,INDIRECT,False,0.0,NONE,0,
npm:side-channel-weakmap@1.0.2,64,npm,side-channel-weakmap,1.0.2,INDIRECT,False,0.0,NONE,0,
npm:statuses@2.0.1,65,npm,statuses,2.0.1,DIRECT,False,0.0,NONE,0,
npm:toidentifier@1.0.1,66,npm,toidentifier,1.0.1,INDIRECT,False,0.0,NONE,0,
npm:type-is@1.6.18,67,npm,type-is,1.6.18,DIRECT,False,0.0,NONE,0,
npm:unpipe@1.0.0,68,npm,unpipe,1.0.0,INDIRECT,False,0.0,NONE,0,
npm:utils-merge@1.0.1,69,npm,utils-merge,1.0.1,DIRECT,False,0.0,NONE,0,
npm:vary@1.1.2,70,npm,vary,1.1.2,DIRECT,False,0.0,NONE,0,
