data_file,archive_member,declared_data_file,mapping_method,meter,channel,measurement_kind,measurement_semantics,voltage_response_eligible,unit,base_element,nominal_voltage,data_status,start_time,end_time,row_count,valid_count,missing_value_count,invalid_timestamp_count,duplicate_timestamp_count,out_of_order_timestamp_count,sampling_interval_seconds,expected_timestamp_count,missing_timestamp_count,timestamp_coverage_fraction,minimum,p05,mean,median,p95,maximum,standard_deviation,per_unit_status,mean_per_unit
egauge_13-L2,magnitudes/egauge_13-L2.csv,egauge_13-L2,declared_data_file,egauge_13,L2,voltage_magnitude,direct_phase_to_ground_voltage_magnitude,True,V,bus_1098,277.0,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,86401,86401,0,0,0,0,1.0,86401,0,1.0,277.537,283.324,284.578762468027,284.592,285.847,291.379,0.7549075317434589,available,1.0273601533141767
egauge_13-L3,magnitudes/egauge_13-L3.csv,egauge_13-L3,declared_data_file,egauge_13,L3,voltage_magnitude,direct_phase_to_ground_voltage_magnitude,True,V,bus_1098,277.0,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,86401,86401,0,0,0,0,1.0,86401,0,1.0,277.828,283.522,284.71857912524155,284.719,286.015,291.305,0.7665725144731715,available,1.0278649065893197
egauge_13-Mains_Power,magnitudes/egauge_13-Mains_Power.csv,egauge_13-Mains_Power,declared_data_file,egauge_13,Mains_Power,real_power,real_power,False,W,cb_140,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,86401,86401,0,0,0,0,1.0,86401,0,1.0,91.332,101.775,111.65014343583985,110.03,124.939,179.556,7.916352753027331,not_applicable,
egauge_14-CT1,magnitudes/egauge_14-CT1.csv,egauge_14-CT1,declared_data_file,egauge_14,CT1,current_magnitude,current_magnitude,False,A,cb_141,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,86401,86401,0,0,0,0,1.0,86401,0,1.0,238.461,258.307,286.619356014398,287.203,318.652,386.947,18.386707651020224,not_applicable,
egauge_14-CT2,magnitudes/egauge_14-CT2.csv,egauge_14-CT2,declared_data_file,egauge_14,CT2,current_magnitude,current_magnitude,False,A,cb_141,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,86401,86401,0,0,0,0,1.0,86401,0,1.0,231.332,242.95,267.139178180808,266.99,293.463,362.48,15.469731765870572,not_applicable,
egauge_14-CT3,magnitudes/egauge_14-CT3.csv,egauge_14-CT3,declared_data_file,egauge_14,CT3,current_magnitude,current_magnitude,False,A,cb_141,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,86401,86401,0,0,0,0,1.0,86401,0,1.0,238.328,252.297,279.2199061584936,279.265,307.371,373.264,16.552792958745137,not_applicable,
egauge_14-L1,magnitudes/egauge_14-L1.csv,egauge_14-L1,declared_data_file,egauge_14,L1,voltage_magnitude,direct_phase_to_ground_voltage_magnitude,True,V,bus_1101,277.0,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,86401,86401,0,0,0,0,1.0,86401,0,1.0,272.662,282.087,283.50110026504314,283.531,284.638,294.76,0.7869291451556588,available,1.0234696760470872
egauge_14-L2,magnitudes/egauge_14-L2.csv,egauge_14-L2,declared_data_file,egauge_14,L2,voltage_magnitude,direct_phase_to_ground_voltage_magnitude,True,V,bus_1101,277.0,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,86401,86401,0,0,0,0,1.0,86401,0,1.0,273.383,282.782,284.172150553813,284.184,285.366,295.726,0.8003768563296303,available,1.025892240266473
egauge_14-L3,magnitudes/egauge_14-L3.csv,egauge_14-L3,declared_data_file,egauge_14,L3,voltage_magnitude,direct_phase_to_ground_voltage_magnitude,True,V,bus_1101,277.0,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,86401,86401,0,0,0,0,1.0,86401,0,1.0,272.484,282.102,283.4979444798093,283.524,284.675,294.734,0.7827673688045242,available,1.0234582833206112
egauge_14-Mains_Power,magnitudes/egauge_14-Mains_Power.csv,egauge_14-Mains_Power,declared_data_file,egauge_14,Mains_Power,real_power,real_power,False,W,cb_141,,populated,2024-11-14T07:00:00,2024-11-15T07:00:00,86401,86401,0,0,0,0,1.0,86401,0,1.0,159.152,170.793,192.7438811935047,193.467,214.222,240.686,13.431409759499791,not_applicable,
