nodes,edges,mean_ms,median_ms,q25_ms,q75_ms,min_ms,max_ms,repeats,warmups
20,60,2.616805400187635,1.6283784998449846,1.4995487490523374,1.7678022495601908,1.446014999601175,29.86538000004657,30,5
50,150,1.97118056682181,1.9006510001418064,1.8806169996423705,2.0329837507233606,1.8260260003444273,2.3850809993746225,30,5
100,300,2.6234298333899155,2.5487930006420356,2.5207859994225146,2.649606749855593,2.461984999172273,3.253793000112637,30,5
250,750,4.697807900023084,4.663104000428575,4.4340859999465465,4.8384902497673465,4.357832998721278,5.3050420010549715,30,5
500,1500,10.103488900070564,7.876152499193267,7.722430500052724,10.143944999072119,7.514664001064375,39.95324300012726,30,5
1000,3000,24.144716566903906,16.650025499984622,15.479139249691798,28.142643001046963,14.495919998807949,67.45375100035744,30,5
