network,maximum_oi,mean_oi,outlet_oi,outlet_gbbrpm,outlet_path_pruned
N3,0.0,0.0,0.0,0.10681429687499999,0.10681429687499999
N4,0.18928,0.08314799999999999,0.09937200000000002,0.351372,0.252
N5,0.4393529933929119,0.1496327411217087,0.32263722745582946,0.7086404493308295,0.386003221875
