pct,trial,seed,spearman,top3_jaccard
0.1,0,41,0.9548872180451128,0.2
0.1,1,41,0.9575028883224671,0.5
0.1,2,41,0.9639097744360902,1.0
0.1,3,41,0.9533834586466164,0.2
0.1,4,41,0.9473684210526315,0.5
0.1,5,41,0.8529522980028889,0.2
0.1,6,41,0.9112781954887217,0.5
0.1,7,41,0.9789473684210527,1.0
0.1,8,41,0.9624060150375938,0.5
0.1,9,41,0.9593984962406013,0.5
0.1,10,41,0.9353383458646616,0.2
0.1,11,41,0.918796992481203,0.5
0.1,12,41,0.8721804511278194,0.5
0.1,13,41,0.8840371471250003,1.0
0.1,14,41,0.9849624060150375,1.0
0.1,15,41,0.9488721804511278,0.2
0.1,16,41,0.9729323308270676,1.0
0.1,17,41,0.9639097744360902,0.5
0.1,18,41,0.9684210526315788,0.5
0.1,19,41,0.9605115384036058,0.5
0.1,20,41,0.9142857142857143,0.5
0.1,21,41,0.9548872180451128,0.5
0.1,22,41,0.959759375883321,0.5
0.1,23,41,0.9488721804511278,0.5
0.1,24,41,0.949229100599335,0.5
0.1,25,41,0.9063558369431052,0.5
0.1,26,41,0.9559985632818976,0.5
0.1,27,41,0.9503759398496241,0.5
0.1,28,41,0.9575028883224671,0.5
0.1,29,41,0.9759398496240601,0.5
0.1,30,41,0.9744360902255638,0.5
0.1,31,41,0.9307752823016265,0.5
0.1,32,41,0.9413533834586465,0.5
0.1,33,41,0.9548872180451128,0.5
0.1,34,41,0.9834586466165413,1.0
0.1,35,41,0.9172932330827066,1.0
0.1,36,41,0.8887218045112781,0.5
0.1,37,41,0.9657766760455991,0.2
0.1,38,41,0.9635201884847449,0.5
0.1,39,41,0.9639097744360902,0.5
0.1,40,41,0.8833712056767253,0.5
0.1,41,41,0.8554226568432712,0.5
0.1,42,41,0.9203007518796992,0.5
0.1,43,41,0.9338345864661652,0.5
0.1,44,41,0.9518796992481202,0.2
0.1,45,41,0.9684210526315788,0.5
0.1,46,41,0.9033471868619661,0.5
0.1,47,41,0.8887218045112781,0.2
0.1,48,41,0.9518796992481202,0.5
0.1,49,41,0.9383458646616539,0.5
0.1,50,41,0.8947368421052632,0.2
0.1,51,41,0.9308270676691727,0.5
0.1,52,41,0.9157894736842105,0.5
0.1,53,41,0.9127819548872179,0.5
0.1,54,41,0.9071079994633899,0.2
0.1,55,41,0.9353383458646616,0.5
0.1,56,41,0.956390977443609,1.0
0.1,57,41,0.9729323308270676,1.0
0.1,58,41,0.9443609022556391,0.5
0.1,59,41,0.9458646616541352,0.5
0.1,60,41,0.9097744360902256,0.2
0.1,61,41,0.8962406015037594,0.5
0.1,62,41,0.932330827067669,0.2
0.1,63,41,0.8995863742605424,0.2
0.1,64,41,0.9759398496240601,0.5
0.1,65,41,0.9443609022556391,0.5
0.1,66,41,0.9417074753964876,0.5
0.1,67,41,0.9759398496240601,1.0
0.1,68,41,0.9428571428571428,1.0
0.1,69,41,0.956390977443609,1.0
0.1,70,41,0.8887218045112781,0.2
0.1,71,41,0.9533486521230078,0.5
0.1,72,41,0.9458646616541352,0.5
0.1,73,41,0.9341858501936402,0.2
0.1,74,41,0.9774436090225563,1.0
0.1,75,41,0.9537420757210433,1.0
0.1,76,41,0.9654135338345864,1.0
0.1,77,41,0.9413533834586465,0.5
0.1,78,41,0.9386988253153485,0.5
0.1,79,41,0.934938012713925,0.5
0.1,80,41,0.9458646616541352,0.2
0.1,81,41,0.8908956622838525,0.2
0.1,82,41,0.8975913793637144,1.0
0.1,83,41,0.9097744360902256,1.0
0.1,84,41,0.9157894736842105,0.5
0.1,85,41,0.9624060150375938,1.0
0.1,86,41,0.9458646616541352,0.5
0.1,87,41,0.9680331636064532,1.0
0.1,88,41,0.9304250375922167,0.5
0.1,89,41,0.9514855881601892,0.5
0.1,90,41,0.9263157894736842,0.2
0.1,91,41,0.9789473684210527,1.0
0.1,92,41,0.9609022556390976,0.5
0.1,93,41,0.9428571428571428,0.5
0.1,94,41,0.9710418136875922,1.0
0.1,95,41,0.9639097744360902,0.5
0.1,96,41,0.9473684210526315,0.5
0.1,97,41,0.9578947368421054,0.5
0.1,98,41,0.9157894736842105,0.5
0.1,99,41,0.9368421052631578,0.2
0.1,100,41,0.956390977443609,0.5
0.1,101,41,0.9639097744360902,1.0
0.1,102,41,0.9458646616541352,0.5
0.1,103,41,0.9789473684210527,1.0
0.1,104,41,0.9639097744360902,0.5
0.1,105,41,0.9620158634441753,0.5
0.1,106,41,0.9537420757210433,0.5
0.1,107,41,0.9593984962406013,0.5
0.1,108,41,0.9263157894736842,0.5
0.1,109,41,0.9248120300751879,1.0
0.1,110,41,0.9473684210526315,0.5
0.1,111,41,0.9375472932480409,1.0
0.1,112,41,0.9609022556390976,0.5
0.1,113,41,0.9458646616541352,0.5
0.1,114,41,0.8221136346712147,0.2
0.1,115,41,0.9417074753964876,0.5
0.1,116,41,0.9469726130384807,1.0
0.1,117,41,0.9428571428571428,0.5
0.1,118,41,0.9533834586466164,0.5
0.1,119,41,0.9218045112781955,0.5
0.1,120,41,0.9518796992481202,0.5
0.1,121,41,0.9203007518796992,1.0
0.1,122,41,0.7457640343251293,0.2
0.1,123,41,0.9522377506804738,0.5
0.1,124,41,0.8962406015037594,0.5
0.1,125,41,0.9559985632818976,0.5
0.1,126,41,0.9142857142857143,1.0
0.1,127,41,0.9413533834586465,0.5
0.1,128,41,0.9593984962406013,0.5
0.1,129,41,0.9337850649444772,0.5
0.1,130,41,0.9353383458646616,0.5
0.1,131,41,0.9774436090225563,1.0
0.1,132,41,0.9082706766917292,0.2
0.1,133,41,0.9488721804511278,0.5
0.1,134,41,0.9233082706766916,0.5
0.1,135,41,0.9533834586466164,1.0
0.1,136,41,0.9014299015338305,0.5
0.1,137,41,0.9067669172932331,0.5
0.1,138,41,0.9593984962406013,0.5
0.1,139,41,0.9819548872180449,0.5
0.1,140,41,0.8228657971914994,0.2
0.1,141,41,0.9503759398496241,1.0
0.1,142,41,0.9071079994633899,0.2
0.1,143,41,0.9458646616541352,0.5
0.1,144,41,0.9567507258021823,0.5
0.1,145,41,0.932330827067669,0.5
0.1,146,41,0.8898082614968408,0.2
0.1,147,41,0.818660878855432,0.2
0.1,148,41,0.9417074753964876,0.5
0.1,149,41,0.9533834586466164,1.0
0.1,150,41,0.9774436090225563,1.0
0.1,151,41,0.9293233082706768,0.5
0.1,152,41,0.9353383458646616,0.5
0.1,153,41,0.9198947623082303,0.5
0.1,154,41,0.9183904372676608,0.5
0.1,155,41,0.8627304107665904,0.5
0.1,156,41,0.9473684210526315,0.5
0.1,157,41,0.9789473684210527,0.5
0.1,158,41,0.9477247755587654,1.0
