network,node,gbbrpm_risk,path_pruned_risk,overlap_inflation
N3,A,0.7,0.7,0.0
N3,B,0.55,0.55,0.0
N3,C,0.5975625,0.5975625,0.0
N3,D,0.328659375,0.328659375,0.0
N3,E,0.507928125,0.507928125,0.0
N3,F,0.1643296875,0.1643296875,0.0
N3,G,0.40634250000000005,0.40634250000000005,0.0
N3,H,0.10681429687499999,0.10681429687499999,0.0
N4,A,0.8,0.8,0.0
N4,B,0.6400000000000001,0.6400000000000001,0.0
N4,C,0.5599999999999999,0.5599999999999999,0.0
N4,D,0.6692800000000001,0.4800000000000001,0.18928
N4,E,0.468496,0.3360000000000001,0.13249599999999995
N4,F,0.5688880000000001,0.40800000000000014,0.16088799999999992
N4,G,0.351372,0.252,0.09937200000000002
N5,N1,0.75,0.75,0.0
N5,N2,0.55,0.55,0.0
N5,N3,0.65,0.65,0.0
N5,N4,0.3375,0.3375,0.0
N5,N5,0.69484375,0.69484375,0.0
N5,N6,0.6766000000000001,0.6766000000000001,0.0
N5,N7,0.5525,0.5525,0.0
N5,N8,0.5730622070312499,0.48639062499999997,0.08667158203124992
N5,N9,0.7127971734375,0.5074500000000001,0.20534717343749997
N5,N10,0.763253768125,0.6229374999999999,0.1403162681250001
N5,N11,0.3724904345703124,0.31615390625000006,0.05633652832031233
N5,N12,0.42767830406250007,0.30447,0.12320830406250005
N5,N13,0.8164483836310374,0.4360562499999999,0.3803921336310375
N5,N14,0.6869283913125,0.56064375,0.12628464131250006
N5,N15,0.45991471015922625,0.22835249999999996,0.2315622101592263
N5,N16,0.7790515875406019,0.3706478124999999,0.408403775040602
N5,N17,0.61823555218125,0.504579375,0.11365617718124998
N5,N18,0.7358712433929118,0.29651824999999987,0.4393529933929119
N5,N19,0.787378277034255,0.42889246875,0.358485808284255
N5,N20,0.7086404493308295,0.386003221875,0.32263722745582946
